experience_years,education_tier,skills_count,job_role,location_tier,certifications_count,projects_count,technical_expertise_score,salary
1.9,2,24,Software Engineer,2,2,5,7.0,140000.0
1.7,3,24,Backend Engineer,2,0,1,5.2,134300.0
7.4,2,12,Frontend Engineer,1,5,0,8.8,197000.0
0.1,2,16,DevOps Engineer,3,3,1,5.7,106800.0
14.7,2,12,Machine Learning Engineer,1,3,5,10.0,324000.0
4.2,3,24,Data Scientist,2,4,0,8.5,188200.0
2.3,1,15,Data Scientist,2,4,0,6.4,137400.0
4.0,2,17,Machine Learning Engineer,3,0,1,6.3,144500.0
0.5,2,8,Frontend Engineer,2,4,0,4.1,107100.0
2.9,2,9,Software Engineer,1,5,7,6.9,184000.0
16.8,3,16,Frontend Engineer,2,1,7,10.0,227500.0
1.1,3,16,Frontend Engineer,1,5,5,5.4,165300.0
5.1,2,9,Full Stack Engineer,2,0,6,5.2,152600.0
2.3,2,17,DevOps Engineer,1,5,4,7.0,193300.0
4.2,2,14,Data Scientist,2,4,2,7.5,175100.0
0.9,2,16,Software Engineer,1,4,7,7.6,157700.0
2.5,2,15,Full Stack Engineer,2,1,1,6.0,138000.0
15.7,2,19,Machine Learning Engineer,2,5,7,10.0,299000.0
0.9,2,9,Frontend Engineer,1,1,0,4.7,116000.0
4.0,2,12,Machine Learning Engineer,3,0,0,5.7,142200.0
3.4,2,20,Data Scientist,2,2,5,7.1,165900.0
3.3,2,23,Full Stack Engineer,1,5,0,8.8,191300.0
3.8,2,19,DevOps Engineer,1,5,0,7.5,196100.0
2.8,1,15,Full Stack Engineer,2,1,4,6.3,134000.0
0.1,4,21,Software Engineer,1,4,6,6.0,155900.0
9.2,2,12,DevOps Engineer,3,0,1,6.6,165700.0
7.0,1,6,Frontend Engineer,1,2,1,5.7,173600.0
0.8,2,13,Cloud Architect,1,5,5,6.3,196600.0
2.1,3,14,Cloud Architect,3,0,4,5.0,142700.0
5.9,3,5,Software Engineer,3,4,4,7.0,153800.0
15.7,3,11,Full Stack Engineer,1,2,4,8.3,291200.0
12.1,2,23,DevOps Engineer,2,2,1,8.3,214300.0
9.2,2,14,Full Stack Engineer,1,1,6,6.5,210900.0
0.7,3,21,Software Engineer,2,3,3,7.2,143000.0
9.8,2,23,Full Stack Engineer,3,4,5,8.8,174000.0
8.4,3,10,DevOps Engineer,1,3,5,7.4,239600.0
1.9,2,17,Backend Engineer,1,4,2,6.5,165000.0
2.0,2,10,Data Scientist,1,0,7,5.2,159500.0
2.5,3,4,Frontend Engineer,1,3,7,4.9,158900.0
4.3,2,15,Data Scientist,1,5,4,9.0,213000.0
1.2,1,4,Frontend Engineer,3,5,7,6.4,106900.0
0.1,2,6,DevOps Engineer,1,5,4,5.1,156700.0
0.6,3,5,Full Stack Engineer,2,2,1,4.1,122900.0
2.3,1,6,Cloud Architect,3,1,6,6.5,136500.0
1.3,1,7,DevOps Engineer,2,4,5,4.7,136600.0
5.8,2,17,Software Engineer,2,1,7,6.8,167600.0
0.5,3,21,Cloud Architect,1,4,1,6.8,198400.0
10.0,3,8,Software Engineer,2,5,6,8.0,209100.0
9.0,2,18,Full Stack Engineer,1,2,2,7.0,227600.0
9.6,2,19,Frontend Engineer,3,2,0,8.6,155100.0
5.4,2,11,Full Stack Engineer,1,2,1,5.7,178600.0
0.5,2,24,Frontend Engineer,2,2,6,7.5,116200.0
2.3,3,11,Full Stack Engineer,2,2,6,4.6,144500.0
0.6,2,10,Cloud Architect,2,5,2,5.9,164900.0
17.6,2,9,Full Stack Engineer,1,1,6,7.4,283900.0
1.6,2,10,Full Stack Engineer,1,0,7,3.3,136500.0
3.5,2,22,Cloud Architect,3,3,1,6.9,154300.0
6.0,2,4,Software Engineer,1,1,1,4.9,165100.0
10.1,2,16,Frontend Engineer,1,5,1,9.8,219600.0
5.6,3,10,Machine Learning Engineer,2,3,3,6.5,199200.0
4.5,2,4,Full Stack Engineer,3,0,7,5.4,132000.0
2.5,2,13,Data Scientist,1,4,6,6.2,192900.0
3.7,2,16,Data Scientist,2,0,3,6.2,159100.0
0.4,4,7,DevOps Engineer,2,0,4,3.5,126900.0
8.6,2,10,DevOps Engineer,1,5,3,7.4,238600.0
3.1,4,9,Software Engineer,2,4,2,5.0,154900.0
0.2,3,9,Backend Engineer,3,3,1,5.2,107100.0
10.1,3,24,Machine Learning Engineer,3,2,3,9.2,206300.0
2.7,2,14,Software Engineer,1,4,5,7.0,163800.0
8.1,2,12,Backend Engineer,2,4,1,7.8,185700.0
7.8,1,10,Software Engineer,2,0,0,7.4,157200.0
6.8,2,12,DevOps Engineer,1,4,4,7.4,210000.0
0.3,4,9,Data Scientist,2,1,3,5.0,143500.0
1.1,2,22,Full Stack Engineer,1,2,5,6.3,150300.0
8.3,2,17,Frontend Engineer,1,0,6,6.6,195100.0
9.2,1,4,DevOps Engineer,1,3,5,7.1,233700.0
2.5,3,19,Full Stack Engineer,1,3,1,6.7,173400.0
2.3,2,12,Data Scientist,2,3,0,6.4,154900.0
0.8,2,18,Cloud Architect,1,3,4,6.5,188100.0
13.8,2,22,Frontend Engineer,2,3,4,9.5,211000.0
1.0,3,13,Backend Engineer,1,0,0,5.4,143300.0
0.8,2,19,Backend Engineer,2,1,3,5.3,128300.0
4.3,2,6,Data Scientist,3,1,3,5.5,138000.0
1.1,1,22,Frontend Engineer,1,3,1,7.6,140500.0
11.2,4,16,Full Stack Engineer,2,1,7,7.8,214200.0
0.0,2,17,Data Scientist,2,2,2,6.3,129600.0
0.0,3,10,Backend Engineer,2,1,1,4.7,111100.0
2.8,2,5,Cloud Architect,1,4,1,6.0,203100.0
2.7,2,17,Data Scientist,2,3,6,6.1,164100.0
0.7,2,20,Cloud Architect,1,4,1,6.9,192400.0
2.7,2,16,Full Stack Engineer,1,4,6,6.0,173400.0
2.1,2,5,Software Engineer,2,3,0,6.1,129200.0
8.8,2,8,Cloud Architect,1,5,4,6.5,272000.0
0.0,2,7,Cloud Architect,2,0,4,3.6,124400.0
15.0,2,6,Machine Learning Engineer,2,5,2,8.4,279400.0
3.9,1,17,Machine Learning Engineer,3,1,7,6.7,146200.0
0.7,3,14,DevOps Engineer,1,5,3,7.5,180700.0
0.2,3,11,Machine Learning Engineer,3,2,1,5.4,124600.0
3.1,2,12,Software Engineer,2,5,0,8.5,152100.0
1.1,2,19,Full Stack Engineer,1,5,0,6.2,153700.0
1.4,3,6,DevOps Engineer,1,0,1,3.3,148800.0
1.1,3,13,Frontend Engineer,2,2,0,4.9,114300.0
4.2,4,4,Cloud Architect,3,5,0,6.1,177100.0
3.2,2,12,Data Scientist,2,3,6,5.5,167400.0
0.3,2,19,Full Stack Engineer,2,1,1,5.2,110400.0
3.0,2,12,Software Engineer,1,5,2,7.1,166000.0
6.3,2,15,Cloud Architect,1,0,0,5.6,217800.0
0.3,2,4,DevOps Engineer,1,3,4,3.8,142600.0
8.8,2,19,Backend Engineer,2,0,5,7.2,187700.0
3.5,1,11,Machine Learning Engineer,1,4,4,6.2,199400.0
12.0,2,17,Machine Learning Engineer,1,5,7,10.0,301300.0
0.6,2,17,Full Stack Engineer,1,1,6,5.0,147200.0
20.0,2,13,Cloud Architect,3,1,6,9.4,267300.0
4.1,3,4,Machine Learning Engineer,2,3,7,5.8,193000.0
3.4,3,9,Machine Learning Engineer,1,3,5,6.3,212000.0
2.9,2,12,Cloud Architect,3,3,5,6.9,153700.0
0.1,4,22,Full Stack Engineer,1,1,4,6.2,164900.0
11.2,2,19,Full Stack Engineer,1,5,1,9.7,256800.0
4.1,2,22,DevOps Engineer,1,4,7,8.2,214200.0
0.4,4,14,Software Engineer,1,1,5,4.9,149900.0
0.1,1,24,Software Engineer,1,3,4,6.6,135900.0
0.2,2,14,Machine Learning Engineer,2,2,3,4.3,135200.0
3.8,2,17,DevOps Engineer,2,5,0,8.0,172100.0
3.8,2,10,Full Stack Engineer,2,4,6,6.5,168300.0
2.8,2,15,Full Stack Engineer,2,1,2,6.3,141600.0
1.5,2,23,Machine Learning Engineer,3,2,5,5.0,140000.0
3.0,2,23,Frontend Engineer,1,5,7,8.0,179500.0
2.9,3,8,Backend Engineer,2,4,7,5.4,156300.0
0.1,2,4,Data Scientist,2,1,7,4.7,126600.0
1.3,2,14,Data Scientist,3,5,4,6.9,134400.0
0.2,2,18,Cloud Architect,1,5,7,6.9,193300.0
9.2,3,13,Machine Learning Engineer,1,3,1,7.5,269700.0
5.2,3,18,DevOps Engineer,2,1,6,7.0,185500.0
20.0,3,16,Cloud Architect,2,5,5,10.0,337000.0
1.4,2,18,Data Scientist,1,4,2,6.7,179300.0
8.4,1,5,Software Engineer,2,3,6,6.3,173000.0
3.7,2,16,DevOps Engineer,1,5,1,8.7,199300.0
2.4,2,15,Cloud Architect,3,0,2,6.3,134700.0
1.0,2,7,DevOps Engineer,1,2,2,5.3,157000.0
5.4,4,15,Cloud Architect,1,5,0,6.7,253300.0
9.4,2,18,Software Engineer,1,3,5,8.9,223900.0
1.1,4,16,Frontend Engineer,2,3,5,6.2,135500.0
0.8,1,5,Machine Learning Engineer,1,4,5,5.7,161600.0
4.8,3,23,Software Engineer,2,5,2,8.6,170300.0
15.1,2,19,Machine Learning Engineer,3,5,3,10.0,236400.0
5.5,3,17,Machine Learning Engineer,1,4,3,7.8,241500.0
1.3,1,24,Cloud Architect,2,2,6,5.7,156300.0
2.2,3,5,DevOps Engineer,1,4,3,4.9,182700.0
1.9,2,20,Full Stack Engineer,1,3,7,7.0,179000.0
7.6,2,19,Backend Engineer,1,2,6,8.5,226100.0
5.9,2,7,Backend Engineer,1,2,1,5.6,185500.0
3.6,2,14,Machine Learning Engineer,2,1,0,5.8,162900.0
1.3,2,16,Backend Engineer,1,3,1,5.2,150000.0
11.1,4,9,Backend Engineer,3,3,5,8.6,186800.0
4.2,2,20,Data Scientist,2,4,5,8.3,177700.0
14.1,3,4,DevOps Engineer,2,3,4,8.3,250000.0
3.5,2,12,Data Scientist,3,5,5,7.1,148600.0
6.9,2,24,Full Stack Engineer,3,4,3,9.7,166200.0
6.7,2,21,Frontend Engineer,2,3,0,7.6,161900.0
1.6,3,14,DevOps Engineer,2,5,3,6.0,150800.0
13.3,2,17,Software Engineer,1,1,0,9.3,244400.0
0.1,2,5,Cloud Architect,2,3,7,5.1,151700.0
5.9,2,23,Cloud Architect,2,1,1,6.8,197500.0
13.5,2,14,Cloud Architect,3,3,5,8.6,238800.0
1.7,2,5,Software Engineer,1,3,1,5.9,148600.0
4.2,2,7,Data Scientist,1,0,7,5.1,192100.0
3.3,2,16,Machine Learning Engineer,1,5,3,7.7,211400.0
5.7,1,9,Backend Engineer,3,3,2,5.7,130700.0
8.0,3,10,Full Stack Engineer,1,1,7,6.9,226700.0
3.7,1,23,Frontend Engineer,2,2,0,6.4,126000.0
6.8,3,6,Data Scientist,2,1,5,4.5,187100.0
1.5,2,7,Machine Learning Engineer,1,5,4,6.2,200400.0
1.0,1,24,Full Stack Engineer,2,3,6,7.9,138700.0
2.3,2,23,Cloud Architect,2,4,2,7.4,179000.0
4.5,2,6,Machine Learning Engineer,1,0,7,4.5,196300.0
0.8,2,4,Full Stack Engineer,2,4,1,5.9,123700.0
4.6,2,22,Data Scientist,3,0,0,6.7,135800.0
2.0,2,24,Full Stack Engineer,3,0,2,6.3,117700.0
6.4,2,16,DevOps Engineer,2,4,6,8.7,196800.0
0.2,2,17,Backend Engineer,2,5,4,6.4,135400.0
4.4,2,19,Full Stack Engineer,1,3,2,6.9,192600.0
4.2,3,7,Frontend Engineer,3,1,4,5.7,129100.0
11.3,3,20,Full Stack Engineer,1,4,1,9.0,260400.0
5.0,2,13,DevOps Engineer,2,2,7,6.3,175600.0
6.4,3,10,Software Engineer,1,0,0,5.0,173600.0
9.4,3,16,DevOps Engineer,1,1,1,7.7,236900.0
4.5,2,16,Full Stack Engineer,1,2,0,6.7,178300.0
1.4,2,17,Cloud Architect,2,1,2,6.3,151000.0
8.2,3,9,Machine Learning Engineer,2,3,1,7.5,223600.0
5.5,2,19,Cloud Architect,2,2,0,7.6,205600.0
2.2,1,12,Cloud Architect,1,5,5,6.7,208600.0
5.0,2,23,Data Scientist,3,5,4,8.5,163500.0
8.1,3,19,Software Engineer,1,4,0,8.9,224600.0
14.9,3,24,Data Scientist,1,1,5,9.2,296900.0
12.2,2,24,Machine Learning Engineer,2,5,1,9.0,262800.0
1.6,4,15,Frontend Engineer,3,5,1,7.4,116700.0
2.2,2,19,Backend Engineer,1,4,2,7.4,176900.0
0.5,1,8,Frontend Engineer,2,4,7,5.2,116500.0
1.1,2,14,Software Engineer,2,5,4,7.1,134900.0
8.6,4,4,Machine Learning Engineer,3,1,0,5.5,184300.0
1.8,2,13,Cloud Architect,1,1,1,4.9,169900.0
3.9,1,14,Machine Learning Engineer,2,0,0,5.1,146000.0
4.4,2,18,Cloud Architect,1,0,3,6.6,202900.0
6.1,2,6,Backend Engineer,1,2,7,4.9,199300.0
0.8,2,18,Full Stack Engineer,1,2,4,5.5,153700.0
1.5,1,14,Software Engineer,3,2,4,5.8,93500.0
2.4,3,12,Backend Engineer,1,0,5,4.3,169700.0
1.8,2,5,DevOps Engineer,3,4,3,4.9,123400.0
16.3,2,15,DevOps Engineer,1,5,4,9.0,308900.0
7.2,1,23,Data Scientist,3,3,3,8.8,157900.0
2.6,1,19,Cloud Architect,2,3,0,6.4,167700.0
8.5,2,19,Backend Engineer,1,5,6,8.2,237400.0
1.7,3,24,Data Scientist,2,1,3,5.8,154400.0
6.2,2,4,DevOps Engineer,1,0,2,4.8,195600.0
1.0,3,19,DevOps Engineer,1,1,5,4.9,167900.0
5.9,3,9,Data Scientist,2,3,3,7.6,192000.0
2.4,1,17,Machine Learning Engineer,2,1,0,4.5,138500.0
0.5,2,14,Backend Engineer,2,0,4,4.5,112900.0
1.3,2,4,Machine Learning Engineer,3,0,2,3.9,118600.0
2.1,2,23,DevOps Engineer,1,0,3,5.8,162000.0
5.5,2,20,Machine Learning Engineer,3,3,7,7.8,178900.0
0.3,2,22,Cloud Architect,3,0,7,5.2,127600.0
4.3,2,5,Frontend Engineer,1,2,5,6.2,158600.0
5.0,3,17,Frontend Engineer,1,2,7,6.2,188500.0
4.2,2,11,Machine Learning Engineer,2,5,5,5.5,192000.0
5.7,2,9,Machine Learning Engineer,2,0,0,4.7,170800.0
0.8,2,12,Cloud Architect,1,2,2,5.5,173900.0
3.5,2,8,Data Scientist,1,0,2,4.8,170300.0
11.3,2,8,Machine Learning Engineer,2,3,7,8.1,252200.0
3.8,3,21,Software Engineer,2,2,2,7.4,153100.0
3.8,3,17,Backend Engineer,1,3,3,6.5,191600.0
5.3,2,15,Software Engineer,3,2,0,6.4,130200.0
1.6,2,15,Frontend Engineer,2,4,0,6.2,122500.0
4.8,2,9,Software Engineer,1,4,0,7.6,184400.0
9.9,2,7,Full Stack Engineer,2,5,6,8.2,226000.0
0.0,3,18,Full Stack Engineer,1,5,7,7.8,169400.0
8.2,4,18,Frontend Engineer,2,5,1,9.2,192400.0
1.0,2,20,Software Engineer,1,3,4,6.5,147000.0
2.4,2,6,Backend Engineer,1,2,0,4.3,149600.0
7.7,1,13,Cloud Architect,1,4,1,7.8,252200.0
6.9,1,24,Frontend Engineer,1,0,1,7.6,174500.0
8.9,2,11,Full Stack Engineer,2,1,2,6.8,185200.0
11.3,1,12,Frontend Engineer,2,4,4,8.3,194600.0
2.4,2,6,Software Engineer,1,4,2,4.3,157000.0
4.3,2,4,Software Engineer,1,0,4,5.3,162800.0
2.0,2,14,Software Engineer,3,4,6,6.3,114100.0
1.7,2,16,Data Scientist,1,4,2,5.7,175800.0
2.3,2,15,Software Engineer,1,4,5,6.9,168100.0
5.4,2,24,Machine Learning Engineer,2,5,7,8.2,211900.0
2.8,2,10,Full Stack Engineer,3,5,7,6.7,135000.0
6.7,4,5,DevOps Engineer,3,2,3,6.4,171500.0
5.5,2,4,Full Stack Engineer,2,5,4,7.0,178500.0
0.1,3,23,Data Scientist,1,4,5,6.9,172500.0
4.0,2,6,Full Stack Engineer,2,1,1,4.8,137500.0
2.3,2,7,Full Stack Engineer,1,5,1,5.5,172300.0
2.4,2,20,Frontend Engineer,1,2,4,6.2,153200.0
6.8,1,21,DevOps Engineer,2,2,2,7.8,179900.0
3.2,2,20,DevOps Engineer,2,3,6,7.0,153100.0
8.7,3,22,Software Engineer,1,4,3,8.5,228200.0
5.0,2,7,Machine Learning Engineer,1,1,3,4.7,200800.0
3.2,2,20,Machine Learning Engineer,3,1,0,6.4,135600.0
5.6,2,5,Frontend Engineer,3,3,4,5.6,132500.0
0.2,2,13,Machine Learning Engineer,2,1,3,4.2,132500.0
0.1,3,15,Frontend Engineer,2,2,2,5.9,117500.0
0.3,3,16,DevOps Engineer,3,0,2,6.1,116200.0
2.3,2,14,DevOps Engineer,2,2,1,6.4,141500.0
1.1,2,24,Cloud Architect,2,5,3,7.2,169100.0
16.6,2,11,DevOps Engineer,1,0,3,8.4,288900.0
3.1,4,23,Machine Learning Engineer,1,1,2,7.8,213800.0
4.3,2,8,Full Stack Engineer,2,4,1,5.5,160200.0
1.3,3,5,DevOps Engineer,1,0,3,4.4,153600.0
1.6,2,15,Cloud Architect,1,2,6,4.9,191700.0
1.6,4,5,Backend Engineer,2,2,6,5.6,148700.0
4.8,2,9,Software Engineer,1,5,2,6.5,194700.0
2.6,2,22,Backend Engineer,3,2,1,8.2,135200.0
2.9,2,15,Full Stack Engineer,1,5,1,8.1,183100.0
3.6,4,16,Data Scientist,2,2,2,6.4,181000.0
5.9,4,20,Frontend Engineer,2,3,1,7.3,166400.0
0.4,3,15,Cloud Architect,2,1,5,5.3,158600.0
6.0,3,6,Machine Learning Engineer,1,4,5,6.3,242700.0
3.3,2,11,Machine Learning Engineer,2,5,1,6.4,171900.0
4.4,3,19,Full Stack Engineer,3,3,0,6.3,123300.0
1.6,3,7,Machine Learning Engineer,3,1,7,4.2,133700.0
2.1,2,16,Full Stack Engineer,2,5,7,6.3,155300.0
1.1,2,11,Cloud Architect,3,0,1,4.9,125900.0
15.5,2,4,Backend Engineer,1,3,6,8.9,284200.0
2.7,2,6,Data Scientist,3,5,3,6.4,144300.0
20.0,3,4,Frontend Engineer,3,3,1,9.6,210400.0
2.7,2,18,Machine Learning Engineer,2,3,3,6.2,166700.0
1.0,2,21,Data Scientist,3,3,2,6.8,126900.0
2.8,2,23,Data Scientist,2,0,1,6.9,137900.0
0.2,2,6,Data Scientist,1,2,2,4.0,140700.0
9.4,2,18,Software Engineer,3,3,7,8.5,166200.0
6.8,3,8,Data Scientist,2,1,4,5.9,196300.0
5.2,2,24,DevOps Engineer,2,2,6,8.8,181600.0
3.8,3,13,Full Stack Engineer,2,0,5,6.0,158300.0
3.5,2,10,Software Engineer,3,4,1,6.6,129600.0
20.0,3,11,DevOps Engineer,2,0,2,8.3,269600.0
1.3,2,6,Software Engineer,1,4,4,5.3,150800.0
6.1,1,21,Data Scientist,2,1,3,7.2,170700.0
3.5,2,20,Machine Learning Engineer,3,4,7,7.4,165400.0
14.9,4,19,Machine Learning Engineer,2,5,7,9.6,307100.0
7.0,1,16,Machine Learning Engineer,3,3,3,6.9,167400.0
20.0,2,7,Machine Learning Engineer,3,2,7,9.4,261000.0
3.6,3,6,Full Stack Engineer,2,5,5,6.8,176000.0
0.9,1,14,Cloud Architect,1,2,5,5.2,167400.0
2.8,2,5,Machine Learning Engineer,1,3,6,5.0,187900.0
5.0,2,21,Frontend Engineer,2,2,6,8.4,149600.0
6.0,2,7,Data Scientist,2,0,3,5.2,170600.0
0.0,2,20,Software Engineer,3,3,3,6.2,95000.0
2.8,1,9,Frontend Engineer,3,3,3,5.6,115200.0
1.1,3,13,Machine Learning Engineer,1,2,0,4.6,166500.0
8.3,1,14,Frontend Engineer,2,5,6,8.6,178600.0
0.7,2,8,Software Engineer,2,4,5,4.9,126200.0
4.4,2,21,Machine Learning Engineer,1,1,7,6.9,210800.0
1.2,2,13,Frontend Engineer,2,4,2,6.3,114500.0
1.8,2,12,Full Stack Engineer,3,0,4,6.0,113500.0
11.3,3,19,Full Stack Engineer,1,3,4,8.2,253000.0
1.1,3,13,Data Scientist,1,3,7,6.3,182700.0
0.4,3,13,Cloud Architect,1,0,1,5.2,166000.0
0.3,2,7,Data Scientist,1,1,2,3.8,139100.0
2.8,3,24,DevOps Engineer,2,3,5,7.8,178900.0
4.1,3,17,Frontend Engineer,1,4,7,8.3,186700.0
1.6,2,11,Software Engineer,3,0,7,4.3,102100.0
4.7,2,4,Full Stack Engineer,1,3,0,5.7,172800.0
0.3,2,19,Backend Engineer,2,4,0,6.8,127000.0
7.8,2,20,Cloud Architect,1,0,2,7.7,247500.0
6.8,3,13,Data Scientist,3,0,3,6.7,158500.0
16.9,2,9,DevOps Engineer,2,0,3,8.4,253200.0
11.0,2,10,Full Stack Engineer,3,1,2,7.6,171000.0
1.8,2,21,DevOps Engineer,3,0,5,5.4,111300.0
2.0,2,5,Machine Learning Engineer,2,5,4,5.7,169800.0
5.5,2,24,Frontend Engineer,3,2,3,7.6,129600.0
0.6,4,12,DevOps Engineer,1,2,7,4.4,171500.0
1.5,2,8,Cloud Architect,2,0,1,4.0,138900.0
0.5,3,11,Full Stack Engineer,1,3,5,5.5,155600.0
2.4,2,8,Full Stack Engineer,3,2,5,5.4,121900.0
3.2,2,18,Frontend Engineer,3,4,0,6.4,115000.0
0.9,2,11,Data Scientist,3,4,6,5.2,131900.0
0.1,3,8,Data Scientist,1,3,3,5.3,163700.0
5.1,1,8,Backend Engineer,1,4,4,6.7,191300.0
0.1,2,23,Cloud Architect,1,5,5,7.8,191300.0
14.5,2,20,Backend Engineer,1,3,3,10.0,267900.0
1.0,3,12,Data Scientist,1,4,3,6.2,174200.0
4.4,2,5,Data Scientist,1,0,0,4.4,170400.0
2.3,1,4,Cloud Architect,3,4,1,5.3,134200.0
0.2,2,24,DevOps Engineer,2,0,5,6.9,129500.0
2.6,2,14,Cloud Architect,2,4,6,8.2,193700.0
2.9,3,18,Data Scientist,2,4,1,7.4,172400.0
7.7,3,4,Data Scientist,2,4,4,6.9,214800.0
5.3,2,10,Full Stack Engineer,3,0,6,6.0,135200.0
0.3,3,22,Backend Engineer,2,4,2,6.9,140400.0
0.9,3,18,Frontend Engineer,1,4,2,7.3,154500.0
1.5,2,9,Cloud Architect,2,5,6,6.6,178400.0
0.5,3,23,Software Engineer,3,1,2,6.4,111500.0
2.4,2,13,Frontend Engineer,1,0,4,5.0,143600.0
16.6,2,15,Cloud Architect,2,5,7,9.5,305600.0
2.9,2,16,Machine Learning Engineer,1,2,5,6.7,198300.0
5.4,2,18,Cloud Architect,1,3,3,7.5,236400.0
4.6,2,22,Software Engineer,3,1,7,6.6,141400.0
7.6,3,20,Full Stack Engineer,1,5,1,8.1,228500.0
1.0,3,16,Machine Learning Engineer,1,5,1,7.1,190000.0
5.6,3,5,Backend Engineer,1,4,3,5.2,204300.0
8.5,2,21,Software Engineer,3,2,5,8.4,161000.0
0.8,4,14,Data Scientist,1,2,6,6.0,180900.0
1.7,1,8,Machine Learning Engineer,3,4,1,5.9,126800.0
14.0,2,7,Full Stack Engineer,1,5,5,8.6,281800.0
6.1,2,5,Cloud Architect,3,5,6,5.9,178500.0
1.3,1,19,Cloud Architect,3,4,6,7.2,140000.0
3.3,2,10,Software Engineer,1,1,6,6.1,162600.0
2.1,2,11,Data Scientist,1,0,1,4.5,159200.0
2.7,3,11,Machine Learning Engineer,1,1,2,5.6,193500.0
1.8,4,5,Full Stack Engineer,3,0,2,5.0,114800.0
1.3,3,18,Cloud Architect,1,2,0,6.3,184600.0
4.5,2,8,Machine Learning Engineer,1,3,0,5.7,212800.0
6.0,3,22,Software Engineer,1,4,1,9.0,212700.0
8.3,3,13,Data Scientist,1,1,2,6.5,235200.0
0.7,2,12,Backend Engineer,1,2,5,4.4,144000.0
6.9,3,23,DevOps Engineer,3,1,0,8.3,169400.0
1.2,2,11,Full Stack Engineer,3,5,0,5.9,110600.0
2.2,2,8,Software Engineer,2,0,2,4.3,124300.0
9.3,2,22,Cloud Architect,2,4,5,8.8,244900.0
2.4,2,16,Data Scientist,2,5,0,6.7,157500.0
0.9,3,17,Backend Engineer,2,0,3,6.1,134500.0
0.7,2,11,Machine Learning Engineer,2,5,6,7.0,163600.0
2.6,2,19,Data Scientist,2,0,5,7.0,150900.0
5.8,3,8,DevOps Engineer,2,0,3,6.1,173100.0
20.0,4,4,Backend Engineer,2,5,2,10.0,282600.0
6.2,2,22,Software Engineer,1,2,2,6.9,191400.0
8.4,2,22,Cloud Architect,1,4,0,8.8,264100.0
5.5,2,20,Data Scientist,1,3,1,9.0,224100.0
9.0,2,24,DevOps Engineer,2,1,4,8.2,201800.0
0.3,1,13,Data Scientist,1,0,7,5.5,147600.0
10.6,2,8,Frontend Engineer,2,4,3,7.9,182000.0
2.0,3,10,Full Stack Engineer,2,1,3,3.4,136800.0
10.2,3,19,Data Scientist,3,4,7,9.4,209500.0
0.3,2,6,DevOps Engineer,1,5,7,6.1,173400.0
5.0,2,15,Backend Engineer,2,1,5,6.3,154600.0
5.3,2,17,Full Stack Engineer,2,4,5,8.3,176100.0
20.0,2,23,Software Engineer,1,3,2,10.0,301400.0
5.9,2,4,DevOps Engineer,2,4,6,5.3,182400.0
1.9,1,10,Full Stack Engineer,3,4,1,6.0,114900.0
3.3,2,21,Frontend Engineer,1,0,2,6.6,148200.0
1.8,2,7,Cloud Architect,3,0,0,5.1,132700.0
0.9,2,19,Software Engineer,3,0,1,5.9,109300.0
1.1,2,14,Data Scientist,2,5,0,5.7,144400.0
1.0,2,21,DevOps Engineer,3,4,3,7.1,126900.0
3.2,1,19,Machine Learning Engineer,2,3,7,7.3,175100.0
9.5,2,10,Software Engineer,2,1,2,5.7,182000.0
9.8,2,24,DevOps Engineer,3,0,5,8.3,179900.0
0.2,1,6,Cloud Architect,1,2,7,4.2,153100.0
0.3,2,8,Cloud Architect,1,4,2,4.9,168600.0
1.1,2,21,Software Engineer,1,3,4,7.0,148700.0
1.2,3,20,Frontend Engineer,2,3,1,5.9,137700.0
0.4,2,4,Backend Engineer,1,0,6,3.8,136400.0
2.0,2,19,Software Engineer,3,5,3,7.6,120900.0
3.5,3,18,DevOps Engineer,2,0,4,6.7,159800.0
3.5,3,16,Cloud Architect,3,5,4,6.6,174700.0
3.1,2,10,Backend Engineer,1,2,2,4.7,167000.0
1.7,3,6,Full Stack Engineer,1,2,1,4.9,161200.0
4.9,2,16,Machine Learning Engineer,1,0,2,6.0,199800.0
7.0,4,19,Frontend Engineer,1,1,7,9.1,213400.0
1.7,2,4,Cloud Architect,2,0,1,4.2,144500.0
0.4,3,4,Data Scientist,3,0,7,3.6,107500.0
1.4,3,19,Cloud Architect,1,3,4,6.4,197900.0
0.6,2,5,DevOps Engineer,2,0,0,3.0,112900.0
2.5,3,21,DevOps Engineer,2,0,3,6.5,153600.0
0.7,2,24,DevOps Engineer,1,0,7,6.0,156700.0
2.5,2,21,Software Engineer,2,1,4,6.4,138800.0
1.0,2,8,Machine Learning Engineer,1,3,2,5.2,176900.0
5.4,3,8,Machine Learning Engineer,3,4,6,6.6,174000.0
0.1,2,11,Backend Engineer,3,4,6,4.5,110400.0
3.2,2,12,Software Engineer,1,4,3,7.0,176200.0
0.7,2,17,DevOps Engineer,2,4,7,5.9,144000.0
0.0,2,16,Machine Learning Engineer,1,3,4,5.7,164400.0
8.1,2,21,Cloud Architect,2,0,1,8.3,214900.0
4.5,3,7,DevOps Engineer,3,4,6,7.2,168300.0
0.4,4,21,DevOps Engineer,3,0,2,4.6,114400.0
4.4,2,23,DevOps Engineer,1,4,6,8.1,211900.0
3.8,2,18,Frontend Engineer,1,1,4,6.6,158200.0
